GENE,GENEID,GENEFULLNAME,MGOX,MGOY,MGOZ,GA,CLUSTER
Trh,22044,thyrotropin releasing hormone,0.4457,0.2869,0.8480,0.5072,1
Oxt,18429,oxytocin,0.6745,0.3029,0.6732,0.5057,1
Foxb1,64290,forkhead box B1,0.4246,0.3762,0.8235,0.5056,1
Col15a1,12819,collagen type XV alpha 1,0.4621,0.4356,0.7724,0.5032,1
Dcun1d3,233805,DCN1 defective in cullin neddylation 1 domain containing 3 (S. cerevisiae),0.4567,0.4241,0.7820,0.5015,1
Sry,21674,sex determining region of Chr Y,0.5468,0.4143,0.7276,0.4981,1
Tlx3,27140,T cell leukemia homeobox 3,0.4942,0.3901,0.7769,0.4976,1
Churc1,211151,churchill domain containing 1,0.4839,0.4692,0.7387,0.4937,1
Htr1a,15550,5-hydroxytryptamine (serotonin) receptor 1A,0.4552,0.5536,0.6973,0.4832,1
Cdh13,12554,cadherin 13,0.3690,0.3607,0.8566,0.4829,1
Notch2,18129,notch 2,0.5207,0.4263,0.7396,0.4824,1
Adora2a,11540,adenosine A2a receptor,0.5110,0.4213,0.7493,0.4677,1
Dusp6,67603,dual specificity phosphatase 6,0.3845,0.4284,0.8177,0.4644,1
Hivep2,15273,human immunodeficiency virus type I enhancer binding protein 2,0.3030,0.4435,0.8435,0.4610,1
LOC546316,546316,-,0.4890,0.4254,0.7615,0.4576,1
Selplg,20345,selectin platelet (p-selectin) ligand,0.4550,0.5022,0.7354,0.4436,1
Csnk1g2,103236,casein kinase 1 gamma 2,0.4870,0.4197,0.7660,0.4419,1
Dbx2,223843,developing brain homeobox 2,0.3784,0.4653,0.8002,0.4338,1
Wnt1,22408,wingless-related MMTV integration site 1,0.4377,0.5073,0.7423,0.4286,1
Dscaml1,114873,Down syndrome cell adhesion molecule like 1,0.1059,0.4279,0.8976,0.4147,1
Kcnq3,110862,potassium voltage-gated channel subfamily Q member 3,0.3215,0.4652,0.8248,0.4117,1
Icam5,15898,intercellular adhesion molecule 5 telencephalin,0.3402,0.3808,0.8598,0.4094,1
Irf1,16362,interferon regulatory factor 1,0.4035,0.4903,0.7725,0.4054,1
Chrm4,12672,cholinergic receptor muscarinic 4,0.3716,0.4751,0.7976,0.3532,1
 ,, ,,,,,
Nr1h3,22259,nuclear receptor subfamily 1 group H member 3,0.6369,0.4020,0.6578,0.9997,2
Lsr,54135,lipolysis stimulated lipoprotein receptor,0.5439,0.4259,0.7231,0.9304,2
Hes3,15207,hairy and enhancer of split 3 (Drosophila),0.5023,0.4639,0.7297,0.8911,2
Tie1,21846,tyrosine kinase with immunoglobulin-like and EGF-like domains 1,0.3107,0.2568,0.9152,0.8188,2
Meis1,17268,Meis homeobox 1,0.3250,0.1898,0.9265,0.7797,2
Wisp1,22402,WNT1 inducible signaling pathway protein 1,0.3536,0.1997,0.9138,0.7403,2
Runx1,12394,runt related transcription factor 1,0.6759,0.5233,0.5190,0.7372,2
Foxm1,14235,forkhead box M1,0.1959,0.1706,0.9657,0.7081,2
Lmx1b,16917,LIM homeobox transcription factor 1 beta,0.2409,0.1468,0.9594,0.7042,2
Fzd3,14365,frizzled homolog 3 (Drosophila),0.7741,0.5045,0.3824,0.6963,2
Bcor,71458,BCL6 interacting corepressor,0.3123,0.2618,0.9132,0.6948,2
Ptk7,71461,PTK7 protein tyrosine kinase 7,0.3224,0.2177,0.9212,0.6907,2
Kcnh7,170738,potassium voltage-gated channel subfamily H (eag-related) member 7,0.4004,0.4457,0.8006,0.6782,2
Col3a1,12825,collagen type III alpha 1,0.7703,0.4738,0.4269,0.6781,2
Irx2,16372,Iroquois related homeobox 2 (Drosophila),0.6496,0.5836,0.4873,0.6776,2
Htr5b,15564,5-hydroxytryptamine (serotonin) receptor 5B,0.1536,0.1824,0.9712,0.6709,2
Wnt8b,22423,wingless related MMTV integration site 8b,0.2119,0.1731,0.9618,0.6690,2
Lbh,77889,limb-bud and heart,0.2598,0.2203,0.9402,0.6652,2
Fgf15,14170,fibroblast growth factor 15,0.1516,0.2259,0.9623,0.6633,2
Col14a1,12818,collagen type XIV alpha 1,0.6392,0.5781,0.5072,0.6613,2
Rb1,19645,retinoblastoma 1,0.5697,0.6269,0.5314,0.6528,2
Lmo1,109594,LIM domain only 1,0.4118,0.3001,0.8604,0.6344,2
Tek,21687,endothelial-specific receptor tyrosine kinase,0.4234,0.2912,0.8578,0.6186,2
Inhbc,16325,inhibin beta-C,0.5643,0.4429,0.6967,0.6146,2
Lhx3,16871,LIM homeobox protein 3,0.5538,0.2650,0.7894,0.6113,2
Esrrb,26380,estrogen related receptor beta,0.6097,0.4910,0.6223,0.6106,2
Cdh5,12562,cadherin 5,0.2838,0.1717,0.9434,0.6018,2
Fzd10,93897,frizzled homolog 10 (Drosophila),0.3624,0.4198,0.8321,0.6009,2
Tcf15,21407,transcription factor 15,0.3984,0.3740,0.8375,0.5985,2
Spdef,30051,SAM pointed domain containing ets transcription factor,0.5831,0.2582,0.7702,0.5892,2
Fgfr4,14186,fibroblast growth factor receptor 4,0.0792,0.1209,0.9895,0.5861,2
Tbx15,21384,T-box 15,0.0534,0.0738,0.9958,0.5852,2
Fli1,14247,Friend leukemia integration 1,0.7097,0.5716,0.4118,0.5792,2
Lhx1,16869,LIM homeobox protein 1,0.7794,0.3708,0.5050,0.5792,2
Ryk,20187,receptor-like tyrosine kinase,0.0892,0.0015,0.9960,0.5753,2
Ephb4,13846,Eph receptor B4,0.3416,0.3864,0.8567,0.5743,2
Syn1,20964,synapsin I,0.4378,0.3561,0.8255,0.5708,2
Wnt7a,22421,wingless-related MMTV integration site 7A,0.0223,0.0233,0.9995,0.5646,2
Bhlhe23,140489,basic helix-loop-helix family member e23,0.2531,0.1739,0.9517,0.5616,2
Gpr98,110789,G protein-coupled receptor 98,0.4710,0.3130,0.8247,0.5613,2
Rhox11,194738,reproductive homeobox 11,0.1066,0.0690,0.9919,0.5604,2
Tfap2b,21419,transcription factor AP-2 beta,0.4092,0.3022,0.8610,0.5575,2
Wnt7b,22422,wingless-related MMTV integration site 7B,0.0585,0.0934,0.9939,0.5574,2
Rhox4e,194856,reproductive homeobox 4E,0.0395,0.0279,0.9988,0.5570,2
2610109H07Rik,70433,RIKEN cDNA 2610109H07 gene,0.2432,0.3517,0.9040,0.5485,2
Nhlh2,18072,nescient helix loop helix 2,0.0586,0.0584,0.9966,0.5469,2
Axl,26362,AXL receptor tyrosine kinase,0.4373,0.2811,0.8542,0.5467,2
Col2a1,12824,collagen type II alpha 1,0.4235,0.2441,0.8724,0.5421,2
Nde1,67203,nuclear distribution gene E homolog 1 (A nidulans),0.0262,0.1296,0.9912,0.5416,2
Arx,11878,aristaless related homeobox,0.0033,0.0005,1.0000,0.5362,2
Tgif2,228839,TGFB-induced factor homeobox 2,0.0204,0.0229,0.9995,0.5355,2
Mfap4,76293,microfibrillar-associated protein 4,0.4273,0.3228,0.8445,0.5339,2
Nr2e1,21907,nuclear receptor subfamily 2 group E member 1,0.0001,0.0060,1.0000,0.5321,2
Pitx2,18741,paired-like homeodomain transcription factor 2,0.0021,0.0210,0.9998,0.5296,2
Mbp,17196,myelin basic protein,0.2354,0.5298,0.8148,0.5268,2
Bmp15,12155,bone morphogenetic protein 15,0.0170,0.0440,0.9989,0.5256,2
Tgfbr1,21812,transforming growth factor beta receptor I,0.0987,0.0752,0.9923,0.5253,2
Rhox4b,57737,reproductive homeobox 4B,0.0955,0.1097,0.9894,0.5221,2
Alx1,216285,ALX homeobox 1,0.0319,0.0095,0.9994,0.5204,2
Sfrp2,20319,secreted frizzled-related protein 2,0.3550,0.2851,0.8904,0.5187,2
Otp,18420,orthopedia homolog (Drosophila),0.0039,0.0013,1.0000,0.5180,2
Isl1,16392,ISL1 transcription factor LIM/homeodomain,0.2840,0.0216,0.9586,0.5110,2
Zic2,22772,zinc finger protein of the cerebellum 2,0.1092,0.1271,0.9859,0.5104,2
En1,13798,engrailed 1,0.0196,0.0095,0.9998,0.5078,2
Id4,15904,inhibitor of DNA binding 4,0.3088,0.2460,0.9188,0.5074,2
Heyl,56198,hairy/enhancer-of-split related with YRPW motif-like,0.0281,0.0415,0.9987,0.4988,2
Top1,21969,topoisomerase (DNA) I,0.3034,0.1506,0.9409,0.4971,2
Zfhx4,80892,zinc finger homeodomain 4,0.0271,0.0392,0.9989,0.4938,2
Nr5a1,26423,nuclear receptor subfamily 5 group A member 1,0.1509,0.2560,0.9548,0.4929,2
Vax1,22326,ventral anterior homeobox containing gene 1,0.0539,0.0969,0.9938,0.4923,2
Zeb1,21417,zinc finger E-box binding homeobox 1,0.3146,0.2413,0.9180,0.4912,2
Tox3,244579,TOX high mobility group box family member 3,0.0898,0.0502,0.9947,0.4894,2
Sox7,20680,SRY-box containing gene 7,0.1209,0.1319,0.9839,0.4847,2
Six5,20475,sine oculis-related homeobox 5 homolog (Drosophila),0.6633,0.1720,0.7283,0.4776,2
Lhx8,16875,LIM homeobox protein 8,0.0243,0.0848,0.9961,0.4771,2
E2f7,52679,E2F transcription factor 7,0.0064,0.0354,0.9994,0.4765,2
Hoxa2,15399,homeobox A2,0.2141,0.1035,0.9713,0.4743,2
Zbtb7a,16969,zinc finger and BTB domain containing 7a,0.1773,0.3812,0.9073,0.4721,2
Dbx1,13172,developing brain homeobox 1,0.3744,0.3073,0.8749,0.4720,2
Lhx2,16870,LIM homeobox protein 2,0.1391,0.0649,0.9882,0.4665,2
Col1a1,12842,collagen type I alpha 1,0.1238,0.0896,0.9883,0.4577,2
Pax3,18505,paired box gene 3,0.3925,0.1485,0.9077,0.4547,2
Ptprc,19264,protein tyrosine phosphatase receptor type C,0.1836,0.1483,0.9717,0.4540,2
Emx1,13796,empty spiracles homolog 1 (Drosophila),0.0455,0.0613,0.9971,0.4537,2
Igfbp2,16008,insulin-like growth factor binding protein 2,0.2588,0.2401,0.9356,0.4502,2
Tal1,21349,T cell acute lymphocytic leukemia 1,0.0586,0.0023,0.9983,0.4396,2
Whsc1,107823,Wolf-Hirschhorn syndrome candidate 1 (human),0.0373,0.0289,0.9989,0.4394,2
Pou2f2,18987,POU domain class 2 transcription factor 2,0.2951,0.0693,0.9530,0.4342,2
Tfap2e,332937,transcription factor AP-2 epsilon,0.2077,0.1812,0.9612,0.4279,2
Trp73,22062,transformation related protein 73,0.5434,0.3869,0.7450,0.4252,2
Gbx2,14472,gastrulation brain homeobox 2,0.0549,0.0042,0.9985,0.4059,2
Col9a1,12839,collagen type IX alpha 1,0.0172,0.1014,0.9947,0.3981,2
Twist1,22160,twist homolog 1 (Drosophila),0.1257,0.0134,0.9920,0.3966,2
Mtap2,17756,microtubule-associated protein 2,0.7661,0.1949,0.6124,0.3820,2
Ngfr,18053,nerve growth factor receptor (TNFR superfamily member 16),0.5990,0.1702,0.7824,0.3737,2
Ptch1,19206,patched homolog 1,0.2465,0.1103,0.9629,0.3715,2
Nos3,18127,nitric oxide synthase 3 endothelial cell,0.5279,0.2817,0.8012,0.3710,2
Pou3f4,18994,POU domain class 3 transcription factor 4,0.1878,0.2938,0.9372,0.3572,2
Tead1,21676,TEA domain family member 1,0.1357,0.0534,0.9893,0.3537,2
Hoxb13,15408,homeobox B13,0.3582,0.5569,0.7493,0.3495,2
Nr4a2,18227,nuclear receptor subfamily 4 group A member 2,0.5488,0.2313,0.8034,0.3199,2
Lhx5,16873,LIM homeobox protein 5,0.1164,0.2126,0.9702,0.3190,2
Gabpa,14390,GA repeat binding protein alpha,0.1327,0.0171,0.9910,0.2989,2
Dlk1,13386,delta-like 1 homolog (Drosophila),0.1022,0.4325,0.8958,0.2987,2
Sox3,20675,SRY-box containing gene 3,0.1852,0.2954,0.9373,0.2932,2
Zfhx2,239102,zinc finger homeobox 2,0.3231,0.2643,0.9087,0.2771,2
Col12a1,12816,collagen type XII alpha 1,0.3518,0.1549,0.9232,0.2246,2
Hesx1,15209,homeobox gene expressed in ES cells,0.2248,0.2030,0.9530,0.2213,2
Mll2,381022,myeloid/lymphoid or mixed-lineage leukemia 2,0.1193,0.0537,0.9914,0.2052,2
Dkk1,13380,dickkopf homolog 1 (Xenopus laevis),0.0785,0.0445,0.9959,0.1938,2
Hnrnpab,15384,heterogeneous nuclear ribonucleoprotein A/B,0.4229,0.0007,0.9062,0.1851,2
Nfib,18028,nuclear factor I/B,0.0566,0.2812,0.9580,0.1708,2
 ,, ,,,,,
Fmr1,14265,fragile X mental retardation syndrome 1 homolog,0.8433,0.5304,0.0872,0.7503,3
Itgb3,16416,integrin beta 3,0.8842,0.3933,0.2519,0.7303,3
Sema6a,20358,sema domain transmembrane domain (TM) and cytoplasmic domain (semaphorin) 6A,0.2731,0.2396,0.9317,0.7081,3
Neurod4,11923,neurogenic differentiation 4,0.7180,0.6337,0.2879,0.6917,3
Slc6a4,15567,solute carrier family 6 (neurotransmitter transporter serotonin) member 4,0.9039,0.4266,0.0293,0.6917,3
Dsg1a,13510,desmoglein 1 alpha,0.5991,0.4581,0.6567,0.6829,3
Dcx,13193,doublecortin,0.2879,0.2598,0.9218,0.6815,3
Taf9,108143,TAF9 RNA polymerase II TATA box binding protein (TBP)-associated factor,0.2679,0.3364,0.9028,0.6789,3
Stx1a,20907,syntaxin 1A (brain),0.1761,0.2035,0.9631,0.6777,3
Htr1d,15552,5-hydroxytryptamine (serotonin) receptor 1D,0.2919,0.2926,0.9106,0.6689,3
Fgf2,14173,fibroblast growth factor 2,0.9786,0.0845,0.1878,0.6444,3
Odz3,23965,odd Oz/ten-m homolog 3 (Drosophila),0.4197,0.4371,0.7955,0.6397,3
Mst1,15235,macrophage stimulating 1 (hepatocyte growth factor-like),0.5963,0.4048,0.6932,0.6377,3
Flt4,14257,FMS-like tyrosine kinase 4,0.5780,0.3041,0.7573,0.6292,3
Ros1,19886,Ros1 proto-oncogene,0.5884,0.4175,0.6925,0.6207,3
Meox2,17286,mesenchyme homeobox 2,0.5713,0.4350,0.6960,0.6136,3
Ptprz1,19283,protein tyrosine phosphatase receptor type Z polypeptide 1,0.3685,0.3701,0.8528,0.6100,3
Sema3f,20350,sema domain immunoglobulin domain (Ig) short basic domain secreted (semaphorin) 3F,0.3829,0.3787,0.8426,0.6065,3
Smad5,17129,MAD homolog 5 (Drosophila),0.3868,0.3232,0.8637,0.5990,3
Plxna4,243743,plexin A4,0.5731,0.4489,0.6856,0.5955,3
Ptprk,19272,protein tyrosine phosphatase receptor type K,0.9065,0.1824,0.3809,0.5954,3
Smad1,17125,MAD homolog 1 (Drosophila),0.4864,0.3163,0.8145,0.5919,3
Cdh23,22295,cadherin 23 (otocadherin),0.1598,0.1184,0.9800,0.5742,3
Gdf1,14559,growth differentiation factor 1,0.4928,0.4244,0.7596,0.5738,3
Hey2,15214,hairy/enhancer-of-split related with YRPW motif 2,0.7441,0.4689,0.4759,0.5715,3
Agrp,11604,agouti related protein,0.2064,0.5949,0.7769,0.5691,3
Pdyn,18610,prodynorphin,0.3302,0.2184,0.9183,0.5682,3
Nts,67405,neurotensin,0.1892,0.1400,0.9719,0.5667,3
Plch1,269437,phospholipase C eta 1,0.4053,0.3458,0.8462,0.5649,3
Egr2,13654,early growth response 2,0.2912,0.2362,0.9271,0.5635,3
Ncam2,17968,neural cell adhesion molecule 2,0.2081,0.1457,0.9672,0.5593,3
Smad6,17130,MAD homolog 6 (Drosophila),0.2905,0.1964,0.9365,0.5551,3
Insr,16337,insulin receptor,0.2598,0.1809,0.9486,0.5534,3
Foxp1,108655,forkhead box P1,0.2989,0.0531,0.9528,0.5486,3
Lmtk2,231876,lemur tyrosine kinase 2,0.1676,0.1640,0.9721,0.5486,3
Ntn4,57764,netrin 4,0.3524,0.3406,0.8717,0.5464,3
Doc2b,13447,double C2 beta,0.0553,0.0576,0.9968,0.5456,3
Fgf5,14176,fibroblast growth factor 5,0.3122,0.1253,0.9417,0.5444,3
Pou4f1,18996,POU domain class 4 transcription factor 1,0.8442,0.5260,0.1033,0.5425,3
Adra2b,11552,adrenergic receptor alpha 2b,0.3243,0.3360,0.8842,0.5407,3
Kcnj6,16522,potassium inwardly-rectifying channel subfamily J member 6,0.1556,0.0064,0.9878,0.5383,3
Jag1,16449,jagged 1,0.2317,0.0321,0.9723,0.5376,3
Ntrk3,18213,neurotrophic tyrosine kinase receptor type 3,0.3282,0.1026,0.9390,0.5355,3
Anxa11,11744,annexin A11,0.8038,0.4661,0.3696,0.5343,3
Pofut1,140484,protein O-fucosyltransferase 1,0.2063,0.2616,0.9429,0.5342,3
Ntn1,18208,netrin 1,0.2116,0.1835,0.9600,0.5324,3
Foxk2,68837,forkhead box K2,0.3724,0.3951,0.8398,0.5307,3
Fibcd1,98970,fibrinogen C domain containing 1,0.4113,0.3231,0.8523,0.5280,3
Tal2,21350,T cell acute lymphocytic leukemia 2,0.1845,0.4133,0.8917,0.5250,3
Grp,225642,gastrin releasing peptide,0.1764,0.2253,0.9582,0.5224,3
Otof,83762,otoferlin,0.1532,0.1729,0.9730,0.5198,3
Slc6a2,20538,solute carrier family 6 (neurotransmitter transporter noradrenalin) member 2,0.1049,0.2253,0.9686,0.5178,3
Ntrk1,18211,neurotrophic tyrosine kinase receptor type 1,0.2748,0.2700,0.9228,0.5159,3
Fcnb,14134,ficolin B,0.4831,0.3667,0.7951,0.5157,3
Adra2c,11553,adrenergic receptor alpha 2c,0.4178,0.2316,0.8785,0.5147,3
Grin3a,242443,glutamate receptor ionotropic NMDA3A,0.2149,0.2803,0.9355,0.5140,3
Plxna2,18845,plexin A2,0.3276,0.2048,0.9224,0.5122,3
Prdm5,70779,PR domain containing 5,0.1317,0.3469,0.9286,0.5025,3
Cdh7,241201,cadherin 7 type 2,0.0608,0.1480,0.9871,0.5017,3
Hbegf,15200,heparin-binding EGF-like growth factor,0.0775,0.0954,0.9924,0.5006,3
Npy,109648,neuropeptide Y,0.2121,0.2520,0.9442,0.5005,3
Lxn,17035,latexin,0.2700,0.3386,0.9014,0.4971,3
Nkd2,72293,naked cuticle 2 homolog (Drosophila),0.1131,0.2929,0.9494,0.4965,3
Tnc,21923,tenascin C,0.3164,0.2976,0.9007,0.4952,3
Cdh8,12564,cadherin 8,0.3138,0.3960,0.8629,0.4916,3
Bmp5,12160,bone morphogenetic protein 5,0.2455,0.0363,0.9687,0.4904,3
Cdh1,12550,cadherin 1,0.0438,0.3061,0.9510,0.4847,3
Ror2,26564,receptor tyrosine kinase-like orphan receptor 2,0.3153,0.9396,0.1334,0.4768,3
Lhx9,16876,LIM homeobox protein 9,0.1244,0.0899,0.9881,0.4742,3
Gpr55,227326,G protein-coupled receptor 55,0.2348,0.3584,0.9035,0.4667,3
Reln,19699,reelin,0.1614,0.2003,0.9664,0.4599,3
Robo2,268902,roundabout homolog 2 (Drosophila),0.1456,0.1238,0.9816,0.4582,3
Grik2,14806,glutamate receptor ionotropic kainate 2 (beta 2),0.0465,0.1721,0.9840,0.4578,3
Disc1,244667,disrupted in schizophrenia 1,0.2920,0.4383,0.8501,0.4555,3
LOC433436,433436,similar to titin isoform N2-A; connectin; CMH9 included; cardiomyopathy dilated 1G (autosomal dominant),0.4130,0.4485,0.7926,0.4488,3
Wnt2,22413,wingless-related MMTV integration site 2,0.8801,0.1186,0.4597,0.4445,3
Pax5,18507,paired box gene 5,0.5493,0.3030,0.7788,0.4431,3
Axin1,12005,axin 1,0.7034,0.3689,0.6076,0.4403,3
Ghrh,14601,growth hormone releasing hormone,0.1669,0.3569,0.9191,0.4396,3
Gatad1,67210,GATA zinc finger domain containing 1,0.1133,0.1018,0.9883,0.4390,3
Kremen2,73016,kringle containing transmembrane protein 2,0.5011,0.3513,0.7909,0.4382,3
Fgl1,234199,fibrinogen-like protein 1,0.0418,0.3263,0.9443,0.4361,3
Dcc,13176,deleted in colorectal carcinoma,0.4562,0.4823,0.7479,0.4289,3
Gdf3,14562,growth differentiation factor 3,0.4756,0.2999,0.8269,0.4281,3
Angptl7,654812,angiopoietin-like 7,0.4222,0.5838,0.6935,0.4280,3
Erbb4,13869,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian),0.5491,0.1789,0.8164,0.4221,3
Creb3l1,26427,cAMP responsive element binding protein 3-like 1,0.6981,0.2324,0.6772,0.4204,3
Avp,11998,arginine vasopressin,0.1394,0.3774,0.9155,0.4195,3
Efna4,13639,ephrin A4,0.4994,0.3040,0.8113,0.4194,3
Bmpr1b,12167,bone morphogenetic protein receptor type 1B,0.6881,0.1150,0.7164,0.4126,3
Nfkbia,18035,nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor alpha,0.4849,0.2765,0.8297,0.3938,3
Crx,12951,cone-rod homeobox containing gene,0.0338,0.1141,0.9929,0.3935,3
Fgf18,14172,fibroblast growth factor 18,0.4309,0.2867,0.8556,0.3783,3
Dvl1,13542,dishevelled dsh homolog 1 (Drosophila),0.5881,0.3288,0.7390,0.3760,3
Grm3,108069,glutamate receptor metabotropic 3,0.0460,0.1718,0.9841,0.3752,3
Gabpb1,14391,GA repeat binding protein beta 1,0.1732,0.6281,0.7586,0.3640,3
Dtx4,207521,deltex 4 homolog (Drosophila),0.4309,0.2729,0.8601,0.3610,3
Pax2,18504,paired box gene 2,0.4889,0.1147,0.8647,0.3575,3
S100a10,20194,S100 calcium binding protein A10 (calpactin),0.6362,0.3164,0.7037,0.3556,3
Epha3,13837,Eph receptor A3,0.5105,0.2571,0.8205,0.3555,3
Ptgs2,19225,prostaglandin-endoperoxide synthase 2,0.4254,0.1498,0.8925,0.3527,3
Lmo3,109593,LIM domain only 3,0.0311,0.1118,0.9932,0.3492,3
Cdh11,12552,cadherin 11,0.1399,0.5117,0.8477,0.3466,3
Epha6,13840,Eph receptor A6,0.4675,0.2537,0.8468,0.3428,3
Esrrg,26381,estrogen-related receptor gamma,0.2138,0.2188,0.9521,0.3355,3
Insl5,23919,insulin-like 5,0.4003,0.2172,0.8903,0.3320,3
Ephb2,13844,Eph receptor B2,0.4669,0.0315,0.8837,0.3314,3
Fcna,14133,ficolin A,0.1161,0.3871,0.9147,0.3314,3
Nkx2-2,18088,NK2 transcription factor related locus 2 (Drosophila),0.4601,0.2242,0.8591,0.3277,3
Areg,11839,amphiregulin,0.2083,0.2632,0.9420,0.3257,3
Crlf1,12931,cytokine receptor-like factor 1,0.2711,0.8322,0.4837,0.3248,3
Kcnd2,16508,potassium voltage-gated channel Shal-related family member 2,0.0577,0.4557,0.8883,0.3235,3
Epha8,13842,Eph receptor A8,0.4872,0.2740,0.8292,0.3233,3
Arntl,11865,aryl hydrocarbon receptor nuclear translocator-like,0.3511,0.3089,0.8839,0.3209,3
Htr3b,57014,5-hydroxytryptamine (serotonin) receptor 3B,0.5297,0.1326,0.8378,0.3183,3
Nos1,18125,nitric oxide synthase 1 neuronal,0.1372,0.1362,0.9811,0.3146,3
Enc1,13803,ectodermal-neural cortex 1,0.1352,0.2688,0.9537,0.3130,3
Nrl,18185,neural retina leucine zipper gene,0.7087,0.3660,0.6031,0.3022,3
Sp3,20687,trans-acting transcription factor 3,0.1537,0.2648,0.9520,0.3016,3
Notch3,18131,notch 3,0.2524,0.3067,0.9177,0.3000,3
Aph1c,68318,anterior pharynx defective 1c homolog (C. elegans),0.5846,0.2110,0.7834,0.2879,3
Calcr,12311,calcitonin receptor,0.0341,0.6283,0.7773,0.2873,3
Mdga1,74762,MAM domain containing glycosylphosphatidylinositol anchor 1,0.3910,0.4204,0.8188,0.2821,3
Ndst4,64580,N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4,0.2696,0.2455,0.9311,0.2703,3
Sema6d,214968,sema domain transmembrane domain (TM) and cytoplasmic domain (semaphorin) 6D,0.2685,0.0650,0.9611,0.2696,3
D630021H01Rik,319914,RIKEN cDNA D630021H01 gene,0.5553,0.0947,0.8263,0.2687,3
Ntf3,18205,neurotrophin 3,0.5968,0.0036,0.8024,0.2682,3
Btc,12223,betacellulin epidermal growth factor family member,0.4811,0.0917,0.8718,0.2632,3
Calcb,116903,calcitonin-related polypeptide beta,0.3292,0.1821,0.9265,0.2478,3
Layn,244864,layilin,0.2148,0.1314,0.9678,0.2476,3
Fas,14102,Fas (TNF receptor superfamily member 6),0.0427,0.0613,0.9972,0.2397,3
Dact1,59036,dapper homolog 1 antagonist of beta-catenin (xenopus),0.6918,0.3716,0.6191,0.2366,3
Angptl4,57875,angiopoietin-like 4,0.1771,0.0434,0.9832,0.2282,3
Bcl11b,58208,B cell leukemia/lymphoma 11B,0.4627,0.1736,0.8694,0.2276,3
Slit2,20563,slit homolog 2 (Drosophila),0.0926,0.2108,0.9731,0.2180,3
Efna2,13637,ephrin A2,0.4500,0.0628,0.8908,0.2063,3
Pbx3,18516,pre B cell leukemia homeobox 3,0.6740,0.1754,0.7176,0.1995,3
Csnk1g1,214897,casein kinase 1 gamma 1,0.1565,0.0735,0.9849,0.1937,3
Gsg1l,269994,GSG1-like,0.0648,0.1435,0.9875,0.1897,3
Spint2,20733,serine protease inhibitor Kunitz type 2,0.6672,0.0852,0.7400,0.1861,3
Jag2,16450,jagged 2,0.0074,0.1336,0.9910,0.1348,3
Zfp207,22680,zinc finger protein 207,0.3056,0.1212,0.9444,0.1264,3
Cd59a,12509,CD59a antigen,0.1447,0.3127,0.9388,0.1043,3
Ddr2,18214,discoidin domain receptor family member 2,0.1051,0.1449,0.9839,0.0835,3
 ,, ,,,,,
Kdr,16542,kinase insert domain protein receptor,0.4317,0.3244,0.8417,0.9189,4
Fzd2,57265,frizzled homolog 2 (Drosophila),0.9147,0.1267,0.3838,0.8653,4
Cnr2,12802,cannabinoid receptor 2 (macrophage),0.3330,0.2920,0.8966,0.8414,4
Nfatc4,73181,nuclear factor of activated T cells cytoplasmic calcineurin dependent 4,0.4319,0.3533,0.8298,0.8235,4
Nes,18008,nestin,0.0957,0.0387,0.9947,0.8221,4
E2f1,13555,E2F transcription factor 1,0.3011,0.2719,0.9140,0.8141,4
Pcdh18,73173,protocadherin 18,0.3563,0.2998,0.8850,0.8122,4
Smad4,17128,MAD homolog 4 (Drosophila),0.2873,0.2760,0.9172,0.7971,4
Atf5,107503,activating transcription factor 5,0.0551,0.0742,0.9957,0.7840,4
Pcnt,18541,pericentrin (kendrin),0.3207,0.2666,0.9089,0.7731,4
Rax,19434,retina and anterior neural fold homeobox,0.0947,0.0472,0.9944,0.7707,4
Prox2,73422,prospero homeobox 2,0.3194,0.2344,0.9182,0.7622,4
Nkd1,93960,naked cuticle 1 homolog (Drosophila),0.3981,0.2717,0.8762,0.7497,4
Creb1,12912,cAMP responsive element binding protein 1,0.3905,0.3433,0.8542,0.7225,4
Tbx18,76365,T-box18,0.4034,0.3547,0.8435,0.7184,4
Mstn,17700,myostatin,0.3399,0.2691,0.9011,0.7038,4
Tdgf1,21667,teratocarcinoma-derived growth factor 1,0.3704,0.2956,0.8806,0.7027,4
Hes5,15208,hairy and enhancer of split 5 (Drosophila),0.3009,0.2592,0.9177,0.7014,4
Foxg1,15228,forkhead box G1,0.2404,0.3096,0.9200,0.6989,4
Hoxd8,15437,homeobox D8,0.3253,0.2144,0.9210,0.6960,4
Col5a2,12832,collagen type V alpha 2,0.3804,0.3392,0.8604,0.6937,4
Robo1,19876,roundabout homolog 1 (Drosophila),0.6632,0.4456,0.6013,0.6823,4
Klf5,12224,Kruppel-like factor 5,0.0790,0.1108,0.9907,0.6813,4
Elf2,69257,E74-like factor 2,0.2456,0.1948,0.9496,0.6812,4
Plxnc1,54712,plexin C1,0.4597,0.3848,0.8004,0.6641,4
Tcf3,21423,transcription factor 3,0.1611,0.1310,0.9782,0.6639,4
Col4a1,12826,collagen type IV alpha 1,0.3469,0.3150,0.8834,0.6617,4
Col4a2,12827,collagen type IV alpha 2,0.2238,0.2005,0.9538,0.6612,4
