GENE,GENEID,GENEFULLNAME,GA,MGOX,MGOY,MGOZ,CLUSTER
Car3,12350,carbonic_anhydrase_3,0.5178,0.1049,0.2677,0.9578,2
Egr1,13653,early_growth_response_1,0.5176,0.0555,0.2414,0.9688,2
Six2,20472,sine_oculis-related_homeobox_2_homolog_(Drosophila),0.5173,0.1305,0.4121,0.9017,2
Nle1,217011,notchless_homolog_1_(Drosophila),0.5146,0.0780,0.2745,0.9584,2
Parm1,231440,prostate_androgen-regulated_mucin-like_protein_1,0.5137,0.0913,0.2560,0.9624,2
Col4a5,12830,collagen__type_IV__alpha_5,0.5137,0.0829,0.4365,0.8959,2
Grm8,14823,glutamate_receptor__metabotropic_8,0.5096,0.2265,0.7025,0.6747,2
Gabre,14404,gamma-aminobutyric_acid_(GABA)_A_receptor__subunit_epsilon,0.5063,0.2148,0.5143,0.8303,2
Cldn11,18417,claudin_11,0.5051,0.1167,0.3102,0.9435,2
Npas4,225872,neuronal_PAS_domain_protein_4,0.5050,0.1400,0.4181,0.8975,2
Esrra,26379,estrogen_related_receptor__alpha,0.5027,0.1764,0.7652,0.6191,2
Chrna7,11441,cholinergic_receptor__nicotinic__alpha_polypeptide_7,0.5022,0.1864,0.6036,0.7752,2
Prkcb,18751,protein_kinase_C__beta,0.5006,0.0929,0.2679,0.9590,2
Rora,19883,RAR-related_orphan_receptor_alpha,0.4993,0.0730,0.1408,0.9873,2
Slc32a1,22348,solute_carrier_family_32_(GABA_vesicular_transporter)__member_1,0.4937,0.1413,0.4665,0.8732,2
Eya4,14051,eyes_absent_4_homolog_(Drosophila),0.4933,0.1112,0.2365,0.9653,2
Car2,12349,carbonic_anhydrase_2,0.4924,0.2063,0.6227,0.7548,2
Ar,11835,androgen_receptor,0.4905,0.1332,0.5290,0.8381,2
Nr3c2,110784,nuclear_receptor_subfamily_3__group_C__member_2,0.4900,0.1433,0.4836,0.8635,2
Cttnbp2,30785,cortactin_binding_protein_2,0.4885,0.0673,0.2220,0.9727,2
Zfp189,230162,zinc_finger_protein_189,0.4810,0.1592,0.4879,0.8583,2
Bche,12038,butyrylcholinesterase,0.4793,0.1433,0.4377,0.8876,2
Col15a1,12819,collagen__type_XV__alpha_1,0.4793,0.2229,0.6099,0.7605,2
Lass5,71949,LAG1_homolog__ceramide_synthase_5,0.4789,0.0995,0.3406,0.9349,2
Six4,20474,sine_oculis-related_homeobox_4_homolog_(Drosophila),0.4775,0.0716,0.3584,0.9308,2
Vdr,22337,vitamin_D_receptor,0.4747,0.2073,0.6374,0.7421,2
Tfeb,21425,transcription_factor_EB,0.4731,0.0664,0.2461,0.9670,2
Kcnab1,16497,potassium_voltage-gated_channel__shaker-related_subfamily__beta_member_1,0.4730,0.0519,0.3152,0.9476,2
Igfbp6,16012,insulin-like_growth_factor_binding_protein_6,0.4707,0.0930,0.2477,0.9644,2
Sertad2,58172,SERTA_domain_containing_2,0.4705,0.1808,0.2849,0.9413,2
Rab37,58222,RAB37__member_of_RAS_oncogene_family,0.4689,0.0423,0.2846,0.9577,2
Bhlha9,320522,basic_helix-loop-helix_family__member_a9,0.4684,0.1800,0.4876,0.8543,2
Zfp263,74120,zinc_finger_protein_263,0.4643,0.1869,0.6137,0.7671,2
Zfp192,93681,zinc_finger_protein_192,0.4619,0.1718,0.5675,0.8052,2
Zbtb20,56490,zinc_finger_and_BTB_domain_containing_20,0.4605,0.0674,0.1092,0.9917,2
Col11a2,12815,collagen__type_XI__alpha_2,0.4590,0.1172,0.2263,0.9670,2
Pvrl2,19294,poliovirus_receptor-related_2,0.4585,0.1647,0.2996,0.9398,2
Lifr,16880,leukemia_inhibitory_factor_receptor,0.4541,0.1703,0.4335,0.8849,2
Efnb3,13643,ephrin_B3,0.4511,0.0949,0.2304,0.9684,2
Hsf1,15499,heat_shock_factor_1,0.4507,0.2481,0.7845,0.5683,2
Fbxw4,30838,F-box_and_WD-40_domain_protein_4,0.4506,0.1741,0.6957,0.6969,2
Erbb3,13867,v-erb-b2_erythroblastic_leukemia_viral_oncogene_homolog_3_(avian),0.4500,0.1533,0.3364,0.9291,2
Daam2,76441,dishevelled_associated_activator_of_morphogenesis_2,0.4482,0.1226,0.1985,0.9724,2
Tbx20,57246,T-box_20,0.4475,0.1053,0.4165,0.9030,2
Fgfrl1,116701,fibroblast_growth_factor_receptor-like_1,0.4450,0.1839,0.6320,0.7528,2
Nrip2,60345,nuclear_receptor_interacting_protein_2,0.4442,0.1413,0.3155,0.9383,2
Postn,50706,periostin__osteoblast_specific_factor,0.4439,0.1611,0.3121,0.9363,2
Olig2,50913,oligodendrocyte_transcription_factor_2,0.4418,0.0429,0.0802,0.9959,2
Srpk2,20817,serine/arginine-rich_protein_specific_kinase_2,0.4404,0.0664,0.3070,0.9494,2
Serpina3k,20714,serine_(or_cysteine)_peptidase_inhibitor__clade_A__member_3K,0.4402,0.1354,0.3355,0.9323,2
Cd164,53599,CD164_antigen,0.4395,0.2190,0.6322,0.7432,2
Bach2,12014,BTB_and_CNC_homology_2,0.4358,0.2018,0.3572,0.9119,2
Trhr,22045,thyrotropin_releasing_hormone_receptor,0.4327,0.1173,0.1474,0.9821,2
Chrna4,11438,cholinergic_receptor__nicotinic__alpha_polypeptide_4,0.4281,0.1241,0.4913,0.8621,2
Cntnap4,170571,contactin_associated_protein-like_4,0.4273,0.1095,0.2073,0.9721,2
Fez1,235180,fasciculation_and_elongation_protein_zeta_1_(zygin_I),0.4258,0.1621,0.6005,0.7830,2
Epha10,230735,Eph_receptor_A10,0.4255,0.2167,0.6757,0.7046,2
Gad1,14415,glutamate_decarboxylase_1,0.4239,0.2167,0.5846,0.7819,2
Ptf1a,19213,pancreas_specific_transcription_factor__1a,0.4171,0.1168,0.1750,0.9776,2
Pik3cb,74769,phosphatidylinositol_3-kinase__catalytic__beta_polypeptide,0.4143,0.1150,0.2697,0.9561,2
Chrna3,110834,cholinergic_receptor__nicotinic__alpha_polypeptide_3,0.4132,0.2295,0.6374,0.7355,2
Rasgrf2,19418,RAS_protein-specific_guanine_nucleotide-releasing_factor_2,0.4127,0.1719,0.5419,0.8227,2
Copg2,54160,coatomer_protein_complex__subunit_gamma_2,0.4126,0.1439,0.2858,0.9474,2
Celsr2,53883,cadherin__EGF_LAG_seven-pass_G-type_receptor_2_(flamingo_homolog__Drosophila),0.4123,0.1949,0.3157,0.9286,2
Itih3,16426,inter-alpha_trypsin_inhibitor__heavy_chain_3,0.4076,0.0537,0.2006,0.9782,2
Nfe2l3,18025,nuclear_factor__erythroid_derived_2__like_3,0.4064,0.1605,0.4130,0.8965,2
Stat3,20848,signal_transducer_and_activator_of_transcription_3,0.4058,0.1703,0.4868,0.8567,2
Vipr2,22355,vasoactive_intestinal_peptide_receptor_2,0.4053,0.1802,0.5365,0.8244,2
Cacna1g,12291,calcium_channel__voltage-dependent__T_type__alpha_1G_subunit,0.4046,0.2202,0.5772,0.7864,2
Serpina9,71907,serine_(or_cysteine)_peptidase_inhibitor__clade_A_(alpha-1_antiproteinase__antitrypsin)__member_9,0.4038,0.0863,0.3031,0.9491,2
Nrtn,18188,neurturin,0.4032,0.1187,0.5107,0.8515,2
Col8a1,12837,collagen__type_VIII__alpha_1,0.4025,0.1860,0.3985,0.8981,2
Inhba,16323,inhibin_beta-A,0.3998,0.1930,0.4811,0.8551,2
Pde10a,23984,phosphodiesterase_10A,0.3992,0.1478,0.3675,0.9182,2
Xbp1,22433,X-box_binding_protein_1,0.3988,0.1227,0.3747,0.9190,2
Gsx1,14842,GS_homeobox_1,0.3945,0.1629,0.1823,0.9697,2
Mib2,76580,mindbomb_homolog_2_(Drosophila),0.3945,0.2177,0.8178,0.5328,2
Ctss,13040,cathepsin_S,0.3943,0.1107,0.3242,0.9395,2
Hoxb1,15407,homeobox_B1,0.3903,0.1146,0.4932,0.8623,2
Zeb1,21417,zinc_finger_E-box_binding_homeobox_1,0.3892,0.1228,0.2745,0.9537,2
Tacr1,21336,tachykinin_receptor_1,0.3892,0.2359,0.5101,0.8271,2
Gpr88,64378,G-protein_coupled_receptor_88,0.3853,0.1205,0.3370,0.9338,2
Trh,22044,thyrotropin_releasing_hormone,0.3830,0.1793,0.4055,0.8963,2
Nkx6-2,14912,NK6_homeobox_2,0.3827,0.0817,0.3353,0.9385,2
Tox4,268741,TOX_high_mobility_group_box_family_member_4,0.3825,0.0755,0.2481,0.9658,2
Lefty1,13590,left_right_determination_factor_1,0.3808,0.1975,0.4060,0.8923,2
Prodh,19125,proline_dehydrogenase,0.3802,0.1288,0.2654,0.9555,2
Ikzf1,22778,IKAROS_family_zinc_finger_1,0.3784,0.1373,0.3457,0.9283,2
Mobp,17433,myelin-associated_oligodendrocytic_basic_protein,0.3781,0.1047,0.3224,0.9408,2
Csf1,12977,colony_stimulating_factor_1_(macrophage),0.3756,0.1209,0.2516,0.9603,2
Dcun1d3,233805,DCN1__defective_in_cullin_neddylation_1__domain_containing_3_(S._cerevisiae),0.3753,0.1515,0.3308,0.9315,2
Tgfa,21802,transforming_growth_factor_alpha,0.3748,0.1388,0.4005,0.9057,2
Tsc2,22084,tuberous_sclerosis_2,0.3734,0.0895,-0.1936,-0.9770,2
Cdh13,12554,cadherin_13,0.3704,0.0871,0.0965,0.9915,2
Usf2,22282,upstream_transcription_factor_2,0.3683,0.1451,0.3338,0.9314,2
Fgf1,14164,fibroblast_growth_factor_1,0.3678,0.2066,0.4492,0.8692,2
Mtf1,17764,metal_response_element_binding_transcription_factor_1,0.3673,0.2221,0.5030,0.8352,2
Pcp2,18545,Purkinje_cell_protein_2_(L7),0.3653,0.1578,0.5366,0.8290,2
Calca,12310,calcitonin/calcitonin-related_polypeptide__alpha,0.3653,0.1547,0.3023,0.9406,2
Kcnb2,98741,potassium_voltage_gated_channel__Shab-related_subfamily__member_2,0.3615,0.1326,0.2667,0.9546,2
Taf13,99730,TAF13_RNA_polymerase_II__TATA_box_binding_protein_(TBP)-associated_factor,0.3613,0.1952,0.4200,0.8863,2
Ntng1,80883,netrin_G1,0.3607,0.1007,0.3010,0.9483,2
Flt3,14255,FMS-like_tyrosine_kinase_3,0.3597,0.0978,-0.1402,-0.9853,2
Btrc,12234,beta-transducin_repeat_containing_protein,0.3563,0.2721,0.8645,0.4226,2
Icam5,15898,intercellular_adhesion_molecule_5__telencephalin,0.3561,0.1642,0.4846,0.8592,2
Cdh18,320865,cadherin_18,0.3559,0.0732,0.0782,0.9942,2
Tead2,21677,TEA_domain_family_member_2,0.3558,0.2806,0.5283,0.8013,2
Gprc5b,64297,G_protein-coupled_receptor__family_C__group_5__member_B,0.3533,0.0666,0.2165,0.9740,2
Lbx2,16815,ladybird_homeobox_homolog_2_(Drosophila),0.3507,0.1682,0.4024,0.8999,2
Cst3,13010,cystatin_C,0.3499,0.0909,0.1760,0.9802,2
Bcl6,12053,B_cell_leukemia/lymphoma_6,0.3494,0.0967,0.3217,0.9419,2
Ephb1,270190,Eph_receptor_B1,0.3483,0.1534,0.0856,0.9844,2
Hoxb5,15413,homeobox_B5,0.3482,0.0558,0.2327,0.9709,2
Slc1a2,20511,solute_carrier_family_1_(glial_high_affinity_glutamate_transporter)__member_2,0.3470,0.1348,0.3718,0.9185,2
Slc17a6,140919,solute_carrier_family_17_(sodium-dependent_inorganic_phosphate_cotransporter)__member_6,0.3413,0.1187,0.3522,0.9284,2
Nmral1,67824,NmrA-like_family_domain_containing_1,0.3383,0.2519,0.4239,0.8699,2
Hoxc13,15422,homeobox_C13,0.3377,0.2308,0.3100,0.9223,2
Rere,68703,arginine_glutamic_acid_dipeptide_(RE)_repeats,0.3369,0.1141,0.3647,0.9241,2
Amigo1,229715,adhesion_molecule_with_Ig_like_domain_1,0.3369,0.2196,0.8604,0.4599,2
Bsx,244813,brain_specific_homeobox,0.3343,0.3221,0.6193,0.7161,2
Grhl1,195733,grainyhead-like_1_(Drosophila),0.3342,0.1197,0.1394,0.9830,2
Sox30,214105,SRY-box_containing_gene_30,0.3328,0.2445,0.3145,0.9172,2
Foxb1,64290,forkhead_box_B1,0.3320,0.0925,0.0910,0.9915,2
Wnt7b,22422,wingless-related_MMTV_integration_site_7B,0.3309,0.0969,0.2002,0.9750,2
Gdf9,14566,growth_differentiation_factor_9,0.3306,0.1519,0.3873,0.9093,2
Nde1,67203,nuclear_distribution_gene_E_homolog_1_(A_nidulans),0.3306,0.2289,0.6236,0.7475,2
Sox8,20681,SRY-box_containing_gene_8,0.3290,0.0843,0.1277,0.9882,2
Srd5a1,78925,steroid_5_alpha-reductase_1,0.3283,0.1328,0.5247,0.8409,2
Stxbp6,217517,syntaxin_binding_protein_6_(amisyn),0.3268,0.1500,0.4011,0.9037,2
Dkk3,50781,dickkopf_homolog_3_(Xenopus_laevis),0.3266,0.4029,0.8252,0.3960,2
Aebp2,11569,AE_binding_protein_2,0.3261,0.1413,0.2405,0.9603,2
Deptor,97998,DEP_domain_containing_MTOR-interacting_protein,0.3243,0.0715,0.1934,0.9785,2
Onecut1,15379,one_cut_domain__family_member_1,0.3241,0.0709,0.0180,0.9973,2
Grid1,14803,glutamate_receptor__ionotropic__delta_1,0.3228,0.1074,0.2368,0.9656,2
Sntb1,20649,syntrophin__basic_1,0.3221,0.1593,0.1698,0.9725,2
Avpr1a,54140,arginine_vasopressin_receptor_1A,0.3220,0.2051,0.5257,0.8256,2
Csnk1g2,103236,casein_kinase_1__gamma_2,0.3212,0.1237,0.2020,0.9715,2
Tcf7l2,21416,transcription_factor_7_like_2__T_cell_specific__HMG_box,0.3167,0.2208,0.3739,0.9008,2
Rxrg,20183,retinoid_X_receptor_gamma,0.3161,0.1941,0.2696,0.9432,2
Creb3l3,208677,cAMP_responsive_element_binding_protein_3-like_3,0.3149,0.2859,0.3934,0.8738,2
Zhx1,22770,zinc_fingers_and_homeoboxes_1,0.3122,0.2120,0.4582,0.8632,2
Phtf2,68770,putative_homeodomain_transcription_factor_2,0.3103,0.1613,0.1345,0.9777,2
Glra3,110304,glycine_receptor__alpha_3_subunit,0.3100,0.1938,0.6205,0.7599,2
Slc1a6,20513,solute_carrier_family_1_(high_affinity_aspartate/glutamate_transporter)__member_6,0.3088,0.0966,0.2895,0.9523,2
Pkp2,67451,plakophilin_2,0.3060,0.2157,0.2798,0.9355,2
Atp1b2,11932,ATPase__Na+/K+_transporting__beta_2_polypeptide,0.3057,0.1145,0.3222,0.9397,2
Il16,16170,interleukin_16,0.3050,0.1252,0.3184,0.9396,2
Nfyb,18045,nuclear_transcription_factor-Y_beta,0.3041,0.2926,0.3454,0.8917,2
Fos,14281,FBJ_osteosarcoma_oncogene,0.3033,0.1943,0.3009,0.9337,2
Srebf1,20787,sterol_regulatory_element_binding_transcription_factor_1,0.3031,0.2257,0.3693,0.9015,2
Sgk1,20393,serum/glucocorticoid_regulated_kinase_1,0.2962,0.2004,0.2872,0.9367,2
Chrna2,110902,cholinergic_receptor__nicotinic__alpha_polypeptide_2_(neuronal),0.2946,0.2301,0.1938,0.9537,2
Cit,12704,citron,0.2945,0.1134,0.2881,0.9509,2
Nr1d2,353187,nuclear_receptor_subfamily_1__group_D__member_2,0.2928,0.0756,0.2558,0.9638,2
Kif5c,16574,kinesin_family_member_5C,0.2917,0.1704,0.0921,0.9811,2
Stard5,170460,StAR-related_lipid_transfer_(START)_domain_containing_5,0.2916,0.1641,0.5000,0.8503,2
Abat,268860,4-aminobutyrate_aminotransferase,0.2894,0.1786,0.1209,0.9765,2
Cds1,74596,CDP-diacylglycerol_synthase_1,0.2872,0.1499,0.4727,0.8684,2
Fam40b,320609,family_with_sequence_similarity_40__member_B,0.2863,0.1227,0.3796,0.9170,2
Nkx6-3,74561,NK6_homeobox_3,0.2850,0.2585,0.3510,0.9000,2
Plcb4,18798,phospholipase_C__beta_4,0.2788,0.0340,0.0869,0.9956,2
Vsx2,12677,visual_system_homeobox_2,0.2781,0.2665,0.4863,0.8322,2
Mxd1,17119,MAX_dimerization_protein_1,0.2768,0.3040,0.2954,0.9057,2
Olig1,50914,oligodendrocyte_transcription_factor_1,0.2756,0.1408,0.3779,0.9151,2
Spp1,20750,secreted_phosphoprotein_1,0.2748,0.1270,0.3986,0.9083,2
Nkx1-2,20231,NK1_transcription_factor_related__locus_2_(Drosophila),0.2744,0.1859,0.1831,0.9654,2
Numbl,18223,numb-like,0.2738,0.3124,0.5537,0.7718,2
Galr1,14427,galanin_receptor_1,0.2728,0.2650,0.7139,0.6482,2
Dlx4,13394,distal-less_homeobox_4,0.2721,0.4261,0.6783,0.5986,2
Nek7,59125,NIMA_(never_in_mitosis_gene_a)-related_expressed_kinase_7,0.2712,0.1131,0.3363,0.9350,2
Htr2b,15559,5-hydroxytryptamine_(serotonin)_receptor_2B,0.2698,0.2462,0.4465,0.8602,2
Gabbr1,54393,gamma-aminobutyric_acid_(GABA)_B_receptor__1,0.2688,0.1346,0.1783,0.9747,2
Ntsr1,18216,neurotensin_receptor_1,0.2648,0.0849,0.1109,0.9902,2
Bicd1,12121,bicaudal_D_homolog_1_(Drosophila),0.2637,0.1966,0.4081,0.8915,2
Avp,11998,arginine_vasopressin,0.2561,0.1975,0.4483,0.8718,2
Gbx1,231044,gastrulation_brain_homeobox_1,0.2547,0.1424,0.2819,0.9488,2
Elk4,13714,ELK4__member_of_ETS_oncogene_family,0.2546,0.2376,0.3870,0.8909,2
Fstl1,14314,follistatin-like_1,0.2540,0.1391,0.2461,0.9592,2
Dlk1,13386,delta-like_1_homolog_(Drosophila),0.2531,0.2312,0.3758,0.8974,2
Mgst3,66447,microsomal_glutathione_S-transferase_3,0.2521,0.1353,0.3304,0.9341,2
Sort1,20661,sortilin_1,0.2504,0.3409,0.2614,0.9030,2
Isx,71597,intestine_specific_homeobox,0.2499,0.3706,0.4926,0.7874,2
Fgf20,80857,fibroblast_growth_factor_20,0.2497,0.3245,0.7791,0.5364,2
Pthlh,19227,parathyroid_hormone-like_peptide,0.2444,0.5440,0.7888,0.2860,2
Plcxd2,433022,phosphatidylinositol-specific_phospholipase_C__X_domain_containing_2,0.2413,0.2839,0.7506,0.5966,2
Bdnf,12064,brain_derived_neurotrophic_factor,0.2401,0.1711,0.2867,0.9426,2
Hoxc8,15426,homeobox_C8,0.2400,0.3543,0.8509,0.3878,2
Hivep2,15273,human_immunodeficiency_virus_type_I_enhancer_binding_protein_2,0.2392,0.2181,0.2688,0.9382,2
Sorl1,20660,sortilin-related_receptor__LDLR_class_A_repeats-containing,0.2392,0.4280,0.5149,0.7427,2
Loxl1,16949,lysyl_oxidase-like_1,0.2376,0.5548,0.8283,0.0789,2
Dkk4,234130,dickkopf_homolog_4_(Xenopus_laevis),0.2360,0.1600,-0.9744,-0.1578,2
Apod,11815,apolipoprotein_D,0.2349,0.4283,0.4978,0.7542,2
Aes,14797,amino-terminal_enhancer_of_split,0.2345,0.9284,0.3532,-0.1157,2
Gad2,14417,glutamic_acid_decarboxylase_2,0.2341,0.0878,0.1501,0.9848,2
Bhlhe40,20893,basic_helix-loop-helix_family__member_e40,0.2339,0.8719,0.3754,0.3145,2
Homez,239099,homeodomain_leucine_zipper-encoding_gene,0.2338,0.0688,0.3121,0.9476,2
Zmat4,320158,zinc_finger__matrin_type_4,0.2320,0.2563,0.4289,0.8662,2
Cdh12,215654,cadherin_12,0.2319,0.9207,0.3863,0.0564,2
Nfix,18032,nuclear_factor_I/X,0.2306,0.1531,0.3957,0.9055,2
Isoc1,66307,isochorismatase_domain_containing_1,0.2305,0.5369,0.7783,0.3256,2
Hspd1,15510,heat_shock_protein_1_(chaperonin),0.2294,0.3112,-0.0050,0.9503,2
Csnk2b,13001,casein_kinase_2__beta_polypeptide,0.2291,0.8127,0.5719,-0.1110,2
Nkx1-1,672284,NK1_transcription_factor_related__locus_1_(Drosophila),0.2286,0.2137,-0.9422,-0.2581,2
Klf7,93691,Kruppel-like_factor_7_(ubiquitous),0.2270,0.2412,0.5063,0.8279,2
Sccpdh,109232,saccharopine_dehydrogenase_(putative),0.2251,0.2622,0.4526,0.8523,2
Nxph4,104080,neurexophilin_4,0.2245,0.2555,0.4110,0.8751,2
Cx3cl1,20312,chemokine_(C-X3-C_motif)_ligand_1,0.2238,0.3759,0.6968,-0.6109,2
Scg5,20394,secretogranin_V,0.2232,0.2647,0.0471,0.9632,2
Slc17a7,72961,solute_carrier_family_17_(sodium-dependent_inorganic_phosphate_cotransporter)__member_7,0.2231,0.5312,0.8262,-0.1876,2
Prkcd,18753,protein_kinase_C__delta,0.2205,0.2966,0.5539,0.7779,2
Adrb1,11554,adrenergic_receptor__beta_1,0.2187,0.2516,0.4140,0.8748,2
Mapk8ip3,30957,mitogen-activated_protein_kinase_8_interacting_protein_3,0.2170,0.4851,0.4846,0.7279,2
Pou2f3,18988,POU_domain__class_2__transcription_factor_3,0.2150,0.2906,0.2448,0.9250,2
Abca2,11305,ATP-binding_cassette__sub-family_A_(ABC1)__member_2,0.2119,0.3974,0.1652,0.9026,2
C4b,12268,complement_component_4B_(Chido_blood_group),0.2115,0.3726,0.4175,0.8287,2
Grid2,14804,glutamate_receptor__ionotropic__delta_2,0.2115,0.1479,0.2925,0.9447,2
Agt,11606,angiotensinogen_(serpin_peptidase_inhibitor__clade_A__member_8),0.2114,0.1211,0.3549,0.9270,2
Zeb2,24136,zinc_finger_E-box_binding_homeobox_2,0.2112,0.2364,0.2771,0.9313,2
Gabra6,14399,gamma-aminobutyric_acid_(GABA)_A_receptor__subunit_alpha_6,0.2110,0.2310,0.6772,0.6986,2
Tfam,21780,transcription_factor_A__mitochondrial,0.2105,0.3312,0.1653,0.9290,2
Cck,12424,cholecystokinin,0.2105,0.1355,0.2988,0.9446,2
Nr4a1,15370,nuclear_receptor_subfamily_4__group_A__member_1,0.2081,0.3980,0.6162,0.6796,2
Gal,14419,galanin,0.2073,0.4852,0.7034,0.5195,2
Laptm4b,114128,lysosomal-associated_protein_transmembrane_4B,0.2071,0.1921,0.4702,0.8614,2
Mog,17441,myelin_oligodendrocyte_glycoprotein,0.2055,0.4988,0.2909,0.8164,2
Gls,14660,glutaminase,0.2054,0.1113,0.1410,0.9837,2
Tacr2,21337,tachykinin_receptor_2,0.2038,0.2628,-0.8664,0.4246,2
Sfrp5,54612,secreted_frizzled-related_sequence_protein_5,0.2037,0.3515,0.2835,0.8922,2
Ncstn,59287,nicastrin,0.2035,0.4138,0.7469,0.5205,2
Slc6a1,232333,solute_carrier_family_6_(neurotransmitter_transporter__GABA)__member_1,0.2035,0.4758,0.8761,0.0777,2
Atp1a1,11928,ATPase__Na+/K+_transporting__alpha_1_polypeptide,0.2022,0.2316,0.0216,0.9726,2
Chst2,54371,carbohydrate_sulfotransferase_2,0.1989,0.2156,-0.1544,-0.9642,2
Wnt6,22420,wingless-related_MMTV_integration_site_6,0.1987,0.2709,0.3585,0.8934,2
Tlx3,27140,T_cell_leukemia__homeobox_3,0.1973,0.2573,0.1248,0.9582,2
Park2,50873,Parkinson_disease_(autosomal_recessive__juvenile)_2__parkin,0.1961,0.4818,0.2832,0.8292,2
Gls2,216456,glutaminase_2_(liver__mitochondrial),0.1961,0.5534,0.4571,0.6963,2
Chrm2,243764,cholinergic_receptor__muscarinic_2__cardiac,0.1958,0.3022,0.9493,-0.0862,2
Rln3,212108,relaxin_3,0.1957,0.1609,0.3163,0.9349,2
Myod1,17927,myogenic_differentiation_1,0.1953,0.3497,0.5164,0.7817,2
Cacna1b,12287,calcium_channel__voltage-dependent__N_type__alpha_1B_subunit,0.1946,0.9367,0.3497,0.0150,2
Rax,19434,retina_and_anterior_neural_fold_homeobox,0.1919,0.0977,0.3606,0.9276,2
Accn2,11419,amiloride-sensitive_cation_channel_2__neuronal,0.1916,0.7337,0.5416,0.4103,2
Abl1,11350,c-abl_oncogene_1__non-receptor_tyrosine_kinase,0.1913,0.4246,0.1291,0.8961,2
Nrip1,268903,nuclear_receptor_interacting_protein_1,0.1909,0.1416,0.2162,0.9660,2
Pten,19211,phosphatase_and_tensin_homolog,0.1904,0.2315,-0.0560,-0.9712,2
Cyp39a1,56050,cytochrome_P450__family_39__subfamily_a__polypeptide_1,0.1898,0.2242,0.6794,0.6986,2
Trim36,28105,tripartite_motif-containing_36,0.1889,0.4338,0.4794,0.7629,2
Tox2,269389,TOX_high_mobility_group_box_family_member_2,0.1883,0.6666,0.6360,0.3887,2
Lepr,16847,leptin_receptor,0.1882,0.5217,0.4905,0.6980,2
Chrnb3,108043,cholinergic_receptor__nicotinic__beta_polypeptide_3,0.1878,0.6530,0.5668,-0.5023,2
Foxj1,15223,forkhead_box_J1,0.1874,0.1980,0.3142,0.9285,2
Gfap,14580,glial_fibrillary_acidic_protein,0.1874,0.7075,0.6399,-0.3000,2
Arhgef25,52666,Rho_guanine_nucleotide_exchange_factor_(GEF)_25,0.1864,0.5194,0.8509,0.0792,2
Adora2a,11540,adenosine_A2a_receptor,0.1858,0.6995,0.4814,0.5281,2
Hcn1,15165,hyperpolarization-activated__cyclic_nucleotide-gated_K+_1,0.1852,0.1654,0.1631,0.9727,2
Dbx1,13172,developing_brain_homeobox_1,0.1840,0.3885,-0.6828,-0.6188,2
E2f8,108961,E2F_transcription_factor_8,0.1838,0.7801,0.4108,0.4719,2
Hivep3,16656,human_immunodeficiency_virus_type_I_enhancer_binding_protein_3,0.1836,0.2673,0.2457,0.9318,2
B3gnt2,53625,UDP-GlcNAc:betaGal_beta-1_3-N-acetylglucosaminyltransferase_2,0.1828,0.3658,0.5122,0.7771,2
Scn1a,20265,sodium_channel__voltage-gated__type_I__alpha,0.1828,0.8690,0.2972,0.3956,2
Ptch1,19206,patched_homolog_1,0.1827,0.2183,0.2188,0.9510,2
Myoc,17926,myocilin,0.1816,0.5137,0.4199,0.7482,2
Whrn,73750,whirlin,0.1805,0.9472,0.1426,0.2872,2
Abcc1,17250,ATP-binding_cassette__sub-family_C_(CFTR/MRP)__member_1,0.1778,0.1698,0.1286,0.9770,2
Ppp1r1b,19049,protein_phosphatase_1__regulatory_(inhibitor)_subunit_1B,0.1771,0.1512,0.3278,0.9326,2
Hmga1,15361,high_mobility_group_AT-hook_1,0.1728,0.3407,0.0320,0.9396,2
Npas1,18142,neuronal_PAS_domain_protein_1,0.1728,0.4532,0.4581,0.7647,2
Faah,14073,fatty_acid_amide_hydrolase,0.1725,0.2019,0.1389,-0.9695,2
Bmpr1a,12166,bone_morphogenetic_protein_receptor__type_1A,0.1681,0.1645,0.2641,0.9504,2
Nf1,18015,neurofibromatosis_1,0.1678,0.5196,0.1092,0.8474,2
Ptgds,19215,prostaglandin_D2_synthase_(brain),0.1678,0.3325,0.3232,0.8860,2
Nlk,18099,nemo_like_kinase,0.1663,0.4365,-0.0370,-0.8989,2
Efna2,13637,ephrin_A2,0.1659,0.3779,0.7077,0.5970,2
Crtac1,72832,cartilage_acidic_protein_1,0.1656,0.4527,0.4820,0.7502,2
Cited1,12705,Cbp/p300-interacting_transactivator_with_Glu/Asp-rich_carboxy-terminal_domain_1,0.1642,0.9520,0.1605,-0.2608,2
Irf1,16362,interferon_regulatory_factor_1,0.1642,0.5339,0.5245,0.6632,2
Glp1r,14652,glucagon-like_peptide_1_receptor,0.1641,0.3642,0.5806,0.7282,2
Rbpj,19664,recombination_signal_binding_protein_for_immunoglobulin_kappa_J_region,0.1638,0.3051,0.0482,0.9511,2
Bcan,12032,brevican,0.1623,0.1305,0.1747,0.9759,2
Jun,16476,Jun_oncogene,0.1613,0.4583,-0.3009,-0.8363,2
Kcnq3,110862,potassium_voltage-gated_channel__subfamily_Q__member_3,0.1599,0.1999,0.2283,0.9529,2
Rreb1,68750,ras_responsive_element_binding_protein_1,0.1590,0.2234,0.4423,0.8686,2
Insl6,27356,insulin-like_6,0.1586,0.3013,0.4057,0.8629,2
